year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,,,,,
1951,2616.89390873041,234.807299957114,128.461816182692,90.5208442253059,65.6256282724719,61.0084202447672,57.1379451946901,45.7617996366112,43.0376512747777,40.1647504862113,37.9976499545165,39.4725771194186,40.3635790187092,46.1813363627616,48.9957522475823,54.6293982263741,64.1264617275234,73.9421596496662,84.1696401382022,86.6823670186327,93.3885726694096,98.8341808759891,110.244232513655,110.676470050674,115.745606273826,126.208283796572,133.677898412365,135.345669801674,138.189886055689,145.705114603999,147.66117371104,155.562268209262,163.950256143564,172.643124540877,173.810861987715,186.156067359764,199.070342375908,207.469205666572,220.620788253507,235.498127168571,247.65734036601,270.836861832379,288.650360828432,311.341467054803,342.073398753539,370.4825994224,401.626190079106,443.017904357277,482.907940296331,533.465191232727,574.516751641058,632.560342704668,682.871893032356,741.514929508765,821.297416110589,880.597735620792,960.722963567099,1054.87460456254,1153.77245087788,1268.79391408371,1380.09649865576,1533.36952561472,1696.46681675573,1878.18019259318,2079.24267347307,2341.08306676868,2605.96616680627,2871.63324839462,3182.51819462689,3531.83571208945,3922.2793342986,4392.38337455821,4909.94628361968,5481.77655172442,6110.30888324362,6817.59574583774,7605.62203835984,8461.2261067486,9395.70887877003,10447.5610964886,11058.0753511474,12042.0165829733,13218.5232177485,14856.9420892535,16469.9371790315,17268.1473969462,19095.1765979751,20379.9476453167,21985.7567234117,23721.5988503754,24734.6755654748,26610.2306990768,27818.0652240667,29316.1543280924,33553.9998754764,33972.260015337,37333.5352695487,37273.7288931852,38473.2733577807,42637.3080759839,46903.2302202322,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1952,2526.0121209522,201.644890655932,104.646388990308,76.27413209056,59.383206351356,51.6122706633956,49.6639141944144,42.0154668320962,40.8713726230835,36.6454534459009,34.9351427666515,33.2918969215377,36.5509007408933,38.8632740026216,43.8106922925868,49.3965331925588,55.1332053701463,59.3153210300063,65.8908732931181,70.9227078707097,78.3110710802463,85.4655051410641,88.2434474270236,91.0746487096136,99.6519052219353,102.311081995573,111.752728037284,112.87039920202,117.034729352916,122.308479115043,124.488015226406,131.059560058344,133.898597016297,140.593752301516,154.319738027574,163.737089196057,166.987108773204,174.626239021172,191.568319280097,214.409050245253,224.345538087738,247.969442193339,268.112070365493,291.918937650002,312.396222210141,349.794466584951,373.086742627075,407.472415014535,451.694782601811,485.928644498054,538.067829555778,574.403478520957,635.98344485604,686.784027977475,751.286817547888,808.136977083778,894.680773979505,969.906156503625,1064.96021561462,1164.27359279867,1263.29873278937,1391.33543961242,1568.96770662291,1692.39550105974,1864.60805396918,2078.4224781638,2296.68073490574,2549.59989523138,2837.57670053883,3125.43650788358,3466.26818293173,3833.78740044921,4349.99959656507,4813.44427369976,5374.47973272217,5945.170050638,6600.39327109487,7341.32654181652,8201.86928099656,9101.07546126324,9484.90508483659,10284.9292223642,11871.1167821115,12730.6983799062,14744.3717215542,15530.2395662075,16649.4806401682,17769.4395272471,19350.0527694118,21148.1177948096,21810.2823981777,23521.8494167334,25750.8729469082,26078.2154177756,28866.2135275433,29017.1116864552,32126.7451937033,35813.6110015556,34665.7532087311,39804.5588572733,39382.3772835519,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1953,2437.67283231003,208.456952894191,109.721492672491,78.13985635644,58.0187784758861,53.2138377002794,49.8521199098055,42.7873504998057,39.0763279186731,37.2308841312613,36.0919337211043,35.1205051188152,36.8900729207479,39.9006687473652,41.5048598142657,42.0580512971376,50.2742933022472,52.2602476534812,59.5650987586545,62.8021254329501,64.7583026127941,71.2422094863808,81.5466429247642,85.0714549279984,85.8469803546149,94.2779335049874,97.0575759557217,104.792379893231,111.960563110734,119.678700881794,120.460014436695,122.910897891591,132.625546669981,143.067879428519,150.274411230574,150.74312684307,168.589454273777,180.623005137865,191.587588764851,202.654383330883,225.115013484048,246.576470124184,266.659173948356,292.320852932685,311.138375523889,340.368329591339,370.177461144379,401.194181784622,442.859639419416,479.918605537672,520.913582571322,564.644596365782,621.491566044884,670.914919702089,723.101191241439,771.231714139784,849.162554150848,933.58654447017,1031.53274716065,1134.11308125951,1239.12710952694,1368.2156049495,1511.54825330562,1670.27270566697,1831.5704139975,2048.57755511931,2263.20438758411,2499.27778176324,2798.91383029485,3104.67459494435,3402.16014987107,3796.35136180888,4230.66892316266,4770.21854881214,5338.33187402063,5936.52277623224,6697.30663073692,7408.27589591967,8236.24538441677,9120.92567553891,9747.35077974503,10253.573083976,11819.5539824302,12919.7246316044,13936.9630591056,15596.3076352523,17314.8956791208,17784.8121271048,19278.5301553219,20411.0332379112,21818.2473491813,22495.7204425182,26559.8015062907,27702.9410540122,27456.8690723071,31058.7007046321,30503.5167697194,33486.6017104457,39116.3097191817,37599.2511881766,39227.2675322034,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1954,2273.18717646792,170.039712223503,85.8894567033733,58.5360510781511,47.3028085193116,43.6160619855453,40.1019337688587,35.0116509066978,32.0624195000009,30.524519161871,29.6921628348465,28.7979648286613,33.6240234574451,37.4989468534535,38.7086275253636,38.9698567584344,47.9260261185902,50.708827799565,55.7596578852165,58.4859546080044,63.1197820967852,69.4672699996953,72.7102494209556,80.0616318460869,81.6721753880798,86.9191333494735,93.8687255553419,99.0468570399441,102.680840151951,105.52260769002,112.064994423979,118.569920174695,126.910876768675,137.636639492195,145.832582956414,150.859265221711,161.306304596639,175.789603204232,195.206726528909,210.217731789689,224.190861599816,238.3914433065,258.136654520089,280.695834443715,306.590884450752,335.950202995929,366.713377482255,392.998133710058,441.435939646482,470.201616055078,514.902520878179,564.789498924106,613.246592946668,671.724223987224,732.046281716697,773.888129671955,836.645945028355,908.170786060433,1010.9771549565,1099.00062059664,1247.74776007247,1350.73493800574,1501.14403081973,1647.96521217431,1828.80476627001,2012.50612937351,2219.18867289167,2479.55779576569,2746.70918263782,3063.52943350861,3394.84505491421,3765.49185356308,4184.846299941,4659.9328586268,5190.23935035921,5814.84742511412,6445.35687416223,7134.99296509093,7936.13357985273,8838.30687260734,9459.6354633675,10221.0271658952,11441.6583123038,12602.8279894672,14336.1355595003,14788.9890266802,16448.9366326673,17915.7597226528,18673.1691986015,20682.8192912254,22407.4388530429,22556.1417282914,25161.0987456306,27967.0644584401,28097.938767671,30291.8379243571,32681.6046300713,30579.3306631031,37039.9153203062,39843.0613611315,35321.4368563286,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1955,2266.90112400542,184.384288268,94.9544149278838,67.8609787169539,50.8259235930048,46.8252587443517,44.2116118736728,38.6204953194789,35.5776923773825,32.2987552471856,31.1925207991086,33.1519878671792,35.0411683272193,33.9174639142937,37.4202679429632,40.1417726388201,42.1576816484682,43.9694023864232,50.8277483489467,51.1634109060507,57.8103601263741,57.4870101642677,65.9186931911252,66.4799166898317,73.2350789831248,80.1722878121979,87.0243062785872,92.8081343303265,97.6155647080594,100.206435600061,105.130243899959,112.435216527935,119.067912400774,123.111927450436,135.240964959094,137.583503625573,155.104042707013,157.193379614538,172.095483200071,188.825322872311,201.653775108477,223.336081297011,251.982532742147,264.128406291045,292.638053553386,317.976369859314,356.477706323483,389.425202302157,425.967281578766,459.985593845742,502.246454901902,553.521807521342,606.226472579064,652.848649177563,710.406069740383,766.740563203843,833.66185302454,907.804493442982,1000.9021624006,1113.32533814363,1217.78753258529,1332.67313068467,1486.85788519438,1645.56848468745,1815.09095881258,2060.27625521926,2258.24881564972,2510.11661562777,2797.74554705624,3114.00830508928,3430.2405228611,3871.33679747357,4301.14575816261,4806.23974952254,5332.49806612735,5919.9201495758,6604.67522696084,7303.09891725366,8187.7551952769,9151.729545452,9823.41610545038,10530.2171912755,11882.529980309,12931.0779989661,14926.6610041545,15812.6369243489,17234.0031227927,19010.1718044576,19689.4899466809,21813.2196135272,23314.5633339166,23824.4418997311,25904.6502578933,27334.1656261512,29138.6040652264,32364.4557494726,34303.0730384449,38556.1443569917,36392.7314679629,39763.9638456197,41260.6104762193,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1956,2133.18959504281,161.827556995829,88.7152546876611,65.6294562448278,49.6332407637831,45.066726973926,40.6176127669967,35.6724267010476,30.9850126173707,27.951895615224,28.7344364877456,27.7823649491184,28.7974091959461,31.2490655353365,32.3837929663332,31.9241106301288,38.0185358593964,41.4865158025589,44.9612609871139,49.9079455234019,55.5177186840557,59.2661251118255,63.2760787636926,66.2378035774967,68.3843907197983,72.699105333043,77.4320317636961,84.7041724845751,84.5379504849341,98.4882722729803,98.6931199494075,104.752525055333,111.846748884781,122.6643051054,130.947243568134,139.04244641061,149.957278381362,158.351886648819,173.364409526438,190.453687432868,198.951916766379,221.52015940887,245.386400214431,265.95849114466,286.539608315314,322.498591252528,353.258213571615,378.214373423817,420.78473842521,452.140621684172,477.723455518762,529.432686705759,574.801893513208,626.393605550204,689.180067245179,739.974149568264,811.293927164522,904.488303035987,999.794378440771,1081.66341594846,1208.57053466366,1339.60016994794,1472.38574683628,1638.89526370862,1829.42236972349,1999.14158639423,2217.95036004009,2471.52665684539,2740.98795217941,3058.73596841114,3402.49902925434,3806.48601718059,4262.40464322816,4757.67651489178,5292.86987247865,5835.24611968948,6588.30107572219,7317.76331574849,8149.43697672437,9113.30448746725,9715.29045777354,10287.812751721,11606.6580613854,13124.9600099419,14512.0498033497,15856.5456757922,17702.8164468224,18234.3385481666,19885.8822615556,21992.783233199,22651.101610628,24646.4271493985,26283.4863093652,27836.3237990639,30276.5982200544,30557.6749314786,34886.6228595397,35136.4040346784,37432.5685304074,37579.1589677382,37756.3479998701,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1957,2138.39476466046,163.685218448827,92.8821797656739,70.1063850080475,52.9317856530722,46.3911613841964,42.2068504853754,35.3990027269083,34.7568077295821,31.6371760556349,31.4360412625906,29.8360397516373,34.6782741323611,34.7812495462036,38.5218101620097,39.6551716818483,44.7401514433147,50.5740017745454,56.8419892517671,56.5114745335006,60.8923728889158,61.6310806280579,63.1537016444226,66.7794041450567,69.6192257626305,76.5164700132367,81.3848666555478,83.9275597309072,86.1392989912797,96.6224313001589,96.8459256813843,105.690813818966,109.462949270935,117.483766709329,127.223020969721,141.377897943439,152.466712378851,163.671184063043,175.326325222071,191.142401762676,210.485777932346,226.838635521622,244.988440679849,270.156474081035,295.120006272763,323.227530745543,346.831736555777,378.554194333344,416.210209118464,452.1174292906,488.802820011564,530.918572541585,577.416090737628,636.775684122391,686.180111731417,748.829871709144,815.775357027013,904.156403992139,998.776884517599,1079.62827831259,1206.8471530634,1334.47968702704,1472.26802015087,1615.61057967654,1790.42038557221,1952.78989482576,2158.66959894068,2395.59851146838,2670.76871897454,2975.23762202474,3288.69133898242,3687.49647169578,4136.03237573973,4633.18110091329,5066.30184617408,5597.17827596137,6154.82210456389,6857.64731455619,7633.31658544878,8462.94642558602,9207.08037246278,9763.77433832252,11170.98919194,11832.8550016526,13383.1029484242,14447.2340389789,15748.0052544562,17058.8557439672,18488.717982114,20786.7921701319,21273.2311549782,22780.2046451392,23939.5731641556,26958.783091802,28572.3505939622,29612.9184062669,30795.3897691766,33677.0914533608,33744.750357093,32382.3276153227,37874.9789968425,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1958,2059.22209910096,150.694344061017,84.1299843451597,60.5361138938402,47.6246985900042,40.8723272490386,36.9311115582715,32.4978344104046,30.7515520100896,27.7284412741444,25.1183304731495,24.7891845010368,24.8563094608089,28.9008323143952,30.0792166472301,30.4460714002892,36.0481328075194,41.2370530339304,46.2443457934807,49.7124575206852,53.9010136753331,58.8081692297699,63.1653197727455,65.7177136613873,67.800562222896,70.2807850199294,71.3594704500579,76.2207622445108,81.1612833209121,86.4839504475423,90.8076816259599,99.0549087713348,104.735687721865,115.519764539406,122.911339446088,131.385108015076,138.40114705582,153.223604789752,166.16131524529,180.056935512441,199.40020992905,225.616179569912,238.502233803431,263.971972474685,284.885498511338,310.20867506884,345.725467699507,374.711965475113,406.850037414721,441.591936800201,482.382866657047,532.117992654512,578.25590048421,625.474319432929,675.324168159386,734.337209811548,805.032279744701,867.985826438653,971.312939323637,1064.64976719068,1194.43925630217,1296.56615592213,1435.12888174637,1600.04244267339,1757.43799994806,1935.24887998947,2148.19868455466,2393.55715487587,2679.30266426732,2959.06845097667,3301.90644308439,3719.0764829968,4137.15456823993,4612.13947269111,5125.45841461358,5686.51179218878,6347.75598399018,7052.60946493341,7900.3308023589,8743.83221824575,9461.94583431049,9929.50328060012,11427.3477857433,12644.0244445691,13869.9929048142,15080.7414119847,16655.9569470798,18103.1803741435,19045.2359540898,20966.7278549675,22138.9603334446,23338.9491567925,26019.9483856067,26630.7601876203,29640.6573826922,31120.8654296636,31580.810959195,37299.3892595362,38122.2604509342,37511.8292756485,36170.5655703961,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1959,2051.79595705686,158.39001366123,86.8595376433671,63.9759910345643,51.6148142619616,44.5911239271576,38.4792687514718,34.4975856631331,30.543244569198,28.8618619875165,28.4558529819571,29.1234109607087,30.7520160116942,31.587301460971,32.9636673448508,34.2513655523489,38.0002328217773,42.8095313387134,46.25781417543,51.4311055865383,54.4137705414643,56.8735600681161,63.120051967147,61.9414378334593,66.5816678986561,69.4467855294528,72.7880567529679,74.2271936892957,81.386316162889,84.8169437617856,90.3683102502178,95.3315163704284,98.4966333823596,110.8491019016,118.629775035605,130.425647476497,137.083307557214,154.005033997474,161.479914656877,178.499131652869,198.906747578595,216.277974432974,234.109363028752,258.455497778338,285.28655130991,303.677299059507,331.360037428464,360.688255668827,393.451757892638,429.129420174668,467.383679949801,504.557675440316,564.672479761038,600.526100888809,670.455080075649,734.373226574726,799.038987778963,876.215658723034,954.615217362928,1059.42577145445,1172.39242748557,1291.75626924226,1416.90232041555,1556.49343502587,1741.07577721697,1915.57245425095,2131.50084667676,2346.64695870754,2612.90407156796,2950.36564916673,3285.90654728548,3667.83242370483,4100.63549522776,4567.10326662351,5130.68172627052,5677.14479642155,6286.39415888207,7004.27999721661,7793.04399137096,8695.51505877754,9024.26155796695,9868.30538263895,11238.7674997045,12347.4910323888,13881.5695710881,14885.3726112397,16526.0636053384,17249.5146944791,19209.0744902132,20587.2882356415,21974.4850677228,23912.4323690775,25583.1189438142,27410.1999817628,27760.3340497258,30131.6546883774,34124.2618664697,35860.7744942256,34377.1913785907,39565.5189246861,36148.6836243034,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1960,2034.55190614573,149.915576640832,83.4198014284151,64.2633048181515,49.2280432629166,45.0928397952986,41.8325269606854,36.3900066334002,35.4113683049473,28.8941378825738,26.7163399811098,26.3449526160744,27.9047311718663,29.3259061290967,32.3458458517973,31.8317576219613,38.1277570493388,40.5224242034028,44.7004831325376,47.0579041070954,47.672586398392,49.6143254255154,51.8003330994939,55.5542153502435,59.6342372005868,64.2297220087736,66.8344187666705,70.8831129742813,72.2785939776874,79.5468151820405,82.1253074579118,89.9975700718779,95.7296342459449,101.190373158152,109.617429969394,122.323106390244,136.238134886727,146.00225069198,160.122762813309,173.859754432809,189.084604836697,207.699714876067,228.429625891758,254.452188553359,273.196329638778,302.787797643194,333.19713946553,353.162865501792,391.674284741496,431.321890915893,467.208392894016,506.827539965696,553.35813642648,600.850714634802,655.981692491565,702.231129127646,774.807603469551,847.394778744677,926.809608804489,1020.84476603022,1142.38242334746,1264.27150186964,1390.54054728908,1541.38161464929,1706.84838961791,1888.0146723653,2102.68946177844,2307.54301769986,2574.47028252082,2855.4127630887,3195.11927962567,3513.05207784439,3918.21962959762,4388.13353842022,4917.47270333789,5493.26727506062,6146.46915397019,6878.3671223282,7655.99437629649,8475.22969747718,9037.10212833493,9549.25300813837,10885.1984539473,12201.1416774942,13603.3261146138,14758.5343775322,15865.514974433,17238.7048012317,18648.5658328656,19962.7561211009,21881.1982419649,22425.6394486842,25192.3242270382,26768.1083018261,27204.2799949255,28640.3877231199,31909.1350246042,30017.5579813441,34700.493083038,35941.0807634617,36356.6888822217,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
