year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
1951,3389.44509183132,267.897205412555,160.324745574978,113.450778600082,91.8306435030329,89.2389763878403,80.5895539142715,67.9559443943603,62.7834318738411,59.0511295096297,55.5722111730155,56.7146743661664,55.4084002339418,60.1109488714547,65.8566977770917,72.2850084836166,81.9754001102417,88.3103123775352,103.906451354879,125.841463305637,129.426152329627,143.774330816813,142.97524048866,146.45655294455,148.745106140124,153.323681587528,161.095912243481,162.989394590979,165.912643410098,166.765607814467,175.080267708205,179.478714491127,182.114248829234,193.564324703863,206.467484274417,214.964836506605,231.474498080853,242.104926070956,264.724188883459,287.695756297244,300.558212916189,341.709830665926,380.715194220032,414.842738575331,467.189561919574,519.748417333226,579.683942225302,661.957064570204,738.832413165912,826.033128009416,939.012631977022,1053.23163131785,1176.88103095272,1298.66466783323,1436.24125235959,1547.95414194057,1701.60833106552,1882.26147097794,2067.84714593339,2298.59311375206,2523.04327962687,2785.49515655212,3070.62042128995,3348.07471095989,3653.35806490565,3953.56470113487,4354.21024951004,4690.40926875532,5106.43876841476,5529.91467681659,5933.10528723784,6514.63868665932,7127.68332001868,7799.76081496765,8491.15708958879,9449.85164121956,10341.1926466785,11301.0539186119,12321.1823307183,13395.7503429351,14041.9681824259,14975.0753822604,16673.2749870615,18394.8605815143,20311.6915694434,20813.2619475015,23837.9649009409,25736.856038432,26513.2355798268,28190.635774122,29592.1524159492,30852.7341277716,31893.4899814464,37690.480590207,37684.6108583107,35498.6577410488,38586.258929468,40303.881985057,45095.5242778391,56715.5587886031,50652.706675472,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1952,3200.46101166561,246.694701086957,143.917898062298,101.223823664206,83.4266610496316,78.5976487848118,71.9745657451371,58.0864535629473,53.5178431970233,53.0635800258853,49.7486789076818,49.0811757960325,50.3044918268283,54.4006081677931,60.114986409599,70.7344928735694,78.8211033486902,86.859868697573,104.538310445294,118.174448345859,133.265831197129,136.253839349123,140.348235651428,143.059443724938,137.65846036081,139.533629215117,137.865232467374,135.574579048276,146.574705892186,147.101431940568,158.035680764107,159.822799161168,170.204693961181,176.44766648125,185.771627817359,205.829497867099,213.799205146396,228.125102148815,249.86662985149,269.624752643214,282.326501172114,313.940994737746,341.456446687018,382.824185010885,424.004583035722,470.460152232875,534.137673877977,605.198736389621,682.806502710381,755.552016753128,873.366115310221,971.091186602708,1086.16163510907,1187.1370006501,1322.81095054179,1434.44780326829,1625.50486591553,1766.08750719582,1949.49565324096,2126.76116748237,2318.91597542738,2546.85834500469,2774.81174141706,3048.27079191765,3330.00838362884,3628.19895676547,3940.32401,4272.66781794606,4701.4466859619,5045.61309760483,5383.8153947731,5921.21066989821,6453.16413554648,7068.92536143071,7686.94961689066,8506.97754243368,9334.33424574442,10222.9132791044,11131.1506568215,12096.1129924869,12616.8054156402,13443.1760672912,15582.4019839265,16485.7010468619,18563.6908191598,19446.0287774494,21412.0498053969,22491.1837543888,23423.7190391858,26300.853287768,27298.8478628369,28409.4636981317,31894.4737855006,32869.719622639,33115.3973605858,38268.7083741262,37862.2108770199,39567.0989119443,39958.3942604555,42171.6157360605,29007.7479889085,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1953,3056.82387101161,236.218582636413,137.322214980902,97.3396412136097,81.455742124236,77.1659508809332,70.0690566273379,58.1613088499311,53.0872477247877,47.9604947764747,46.8134761786021,49.9986580936953,46.4452849973256,48.0530881082088,57.5796152105001,67.111456976824,77.3314824174447,79.5066708654294,95.8548388529565,112.743339586384,119.196737276064,122.605361238357,124.891031896084,129.196069040033,129.03424599923,129.92038911614,130.296468936733,134.980933799932,136.680275722804,145.092269258733,149.521808825221,152.66066473714,160.674010762547,169.767738310094,177.543338506129,192.1148340508,201.706503540328,221.307676343986,236.115618973712,254.816120394851,271.062209256846,296.877129528554,326.979686325276,371.370080580568,409.157134665436,463.85988747156,507.947948546478,584.751218387215,652.065383265412,750.97656219537,841.264305199885,949.941182991873,1060.46974801662,1169.64915810785,1305.23387491704,1446.10784805261,1579.88014355844,1743.56109001124,1923.71877799823,2100.75438873849,2342.28798272052,2541.640324419,2802.5046235499,3070.33233049035,3331.04797689378,3652.90302512784,3988.79912624263,4317.52728803833,4669.39995077899,5089.41526790003,5499.595445283,5940.38891137338,6524.88917276241,7149.20842357595,7773.96518883054,8592.71996642898,9361.24965601863,10141.6463429377,10981.8389915582,12095.4659427026,12709.5960412858,13542.5156945158,15396.2798889938,16295.2039500803,18166.5886604815,19053.5665849773,21061.7560546865,21945.4178767912,23605.5173536429,25282.5948207485,26007.9531064455,26800.6201706075,29526.6789300998,29640.8875160987,31997.8526776064,33238.7837513518,37261.2928957789,42240.1187153849,46011.5404730318,47033.0742000514,65194.3081940539,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1954,2927.91145901528,211.920213640397,120.12115442355,82.2398313508393,68.2745917871712,64.1819632587625,60.1163458513915,47.2270769166619,46.4752648896941,43.3365482162443,42.9232403929331,41.636180023124,44.1009107604348,46.1534356564789,54.605924083535,61.9709460191034,74.3116242952736,78.0504301138879,94.3800399481088,105.687336524378,115.615966133028,120.290471388382,118.06476951022,122.026132654659,121.637713117448,124.991502391277,120.244088016429,129.800764138622,126.453902004189,138.456613902084,140.252602292629,144.92022292262,153.914977807215,162.302026022936,167.537087611616,187.225052607978,197.14280766238,214.4158280877,232.768807489481,255.855723276429,272.927418664846,302.629066410298,333.673813177351,365.722146943624,410.112761877207,447.064889551257,502.892163592476,575.451871888695,643.574177600392,734.152727544329,834.732446132657,944.812349812923,1059.22128206422,1162.71540611395,1303.41883279874,1417.2528244208,1579.65751720929,1734.66556392166,1910.45573824245,2115.42924362498,2318.58541398175,2525.48491993059,2775.73413241036,3058.92649361115,3331.82682381545,3619.600755853,3916.87033929109,4305.61591154776,4662.65023054713,5086.74214386212,5479.29280615481,5964.78033988047,6490.56501952414,7045.9264678109,7729.90913518182,8578.82272436029,9315.79695560135,10116.862099421,11047.4006660544,12079.6519635249,12407.1458639696,13634.8107577405,15152.0086186026,16884.9838645641,18365.6246361273,18727.7722279314,21029.5619375793,23063.1779599502,23968.0759719324,25130.0498940314,27078.0024186274,29273.5255548707,30235.5132344894,34566.1607414888,34302.6923652937,38996.1647890281,40418.6157556473,37239.0915154359,53574.8766158847,53146.1784782289,44713.3232395748,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1955,2894.81583486354,208.071606781921,112.789041056727,82.9307212482861,69.8598036838059,64.8604303775286,60.6763056133409,50.3410723000535,46.4537955306628,45.1784122220311,43.2597894441011,46.4641869832698,45.9398096337692,48.4449449995522,57.7716124646656,65.5584765733577,75.562265545178,85.1159088023264,97.4128787801433,111.819573555199,124.32219810464,122.801683810727,126.11452521802,126.286262545836,121.131920959797,124.095638199888,123.688104783501,124.495872111783,129.796328226632,128.668890506022,136.197219129612,137.410444284882,147.554093208109,157.467399821471,160.891313314185,178.071778221157,193.410490857634,200.942663084972,224.166508415896,246.758538989823,265.222372532509,293.860464288907,326.206350670459,360.570661921375,395.970947225141,451.621674037372,507.221938727859,561.392016594455,638.261157986916,725.735302806608,826.202247851366,924.825493346648,1045.08310323801,1161.06394606436,1311.08922710697,1413.96093899041,1561.83098435048,1750.8421502969,1893.47770775587,2133.26654768749,2312.76251043772,2555.19873568465,2811.12143563809,3060.06459578006,3366.56445069289,3668.99210747239,3992.04974848097,4351.29170410778,4695.65076650548,5137.2082766009,5574.16449913667,6050.55666834387,6599.21200717471,7232.05300779929,7980.51307451316,8810.27925359979,9596.80452028261,10538.5977266948,11409.4398001376,12568.441037482,12998.5538672946,13787.6075145003,15564.6363130037,16803.4981519419,18741.199960413,20313.5471722678,21756.4563043198,23116.1026024537,25040.6133741681,27209.4145844158,27509.5099200331,29695.1634967698,31688.1243925995,32511.563453369,35682.974115584,37842.4594559744,39393.1030251939,38620.4296296265,44095.1816158943,57245.6380514914,45896.7696596004,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1956,2770.88026254153,194.430902253613,109.1086967219,76.8186064943437,65.8886877558797,60.5499627202495,54.4766502253872,47.6876694030613,44.1251279028584,41.4524123123356,41.3212766072844,39.5692662287347,41.7679185869971,44.3369202519202,50.2118156619848,61.4939278004135,67.8865464645808,83.5695005705697,95.9917944567961,107.52099480331,109.740240632537,111.898923514396,113.230237192446,110.88789917713,111.272639546277,115.383717415887,115.953434011259,122.030919528924,125.183704026486,124.678854775149,130.659037434033,133.923793048768,145.851020079695,150.213152614585,158.763615053423,171.085471468295,186.25853768783,203.208656642576,223.464054877803,241.261165152422,268.278450390496,294.090445191186,320.245356761099,352.864128561522,398.02289029717,442.372151570751,506.485007186732,559.821951985873,626.523695401151,717.70660696387,792.249603266881,896.544525941802,983.941712869173,1120.97605688275,1261.216985629,1427.2008640733,1605.35465472465,1769.02286517401,1949.01312775863,2148.70333565354,2341.84573973437,2578.92136018346,2798.24476995874,3087.88928772636,3328.79194702607,3668.66754595391,3989.773323389,4342.29787757919,4698.26738504842,5120.10715181883,5608.90874936683,6132.42606387227,6764.76954977047,7323.1382331327,7939.79583831122,8679.79909021337,9505.84606979147,10388.2289953043,11348.3818115745,12357.0417858912,12838.7448708592,13771.6024170906,15168.8629424171,17195.9364075369,18373.9486125541,20221.9254065824,21504.439386307,22840.7142072603,24607.446783096,26932.7873853544,27837.0185995657,29599.1669306529,32444.4934435062,33248.9246969686,33285.4271749524,38652.6834901746,38831.7953939235,39009.3597705148,35644.2670360004,48366.1580853572,41223.3333091006,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1957,2712.5322643486,196.309641351727,115.867017248646,83.5339094358013,66.9641240064232,65.3449130109472,61.924385290954,49.7626361309001,47.6550769113679,46.1185614575043,44.2020510860894,43.1515517088773,47.5586635738629,48.639060090785,55.2359910492393,63.4036796176847,79.3653561189069,92.3141901684493,108.118648699086,116.434673126499,120.182432744072,121.624322731098,121.208089598711,119.326305119634,116.313882891851,114.685028615873,117.01405192558,121.055994117456,124.410777630685,128.401675700897,127.733838172386,133.209857595099,141.165774955481,146.901820360945,155.62679542182,175.613986765533,188.115001887567,207.20055225618,219.254865276352,243.657328174048,268.486141672671,294.651269205253,326.869487238774,363.027040178643,396.561483063947,445.079385743292,500.542357043557,572.702162643928,630.162657942309,708.784116077923,796.374531234143,893.554433423057,1011.91796454315,1154.01266087157,1272.76431425087,1442.7683298409,1621.43858691579,1797.84879806517,2005.06057282574,2192.09598261557,2366.74175052016,2587.3717192657,2866.91506493789,3088.32943946964,3383.99946561234,3672.30825883865,4016.62087188454,4391.05242910617,4744.15415759736,5136.66795067095,5579.10115255823,6041.03156772758,6602.8466651244,7141.72244081543,7699.174042951,8265.83740083022,9025.65250762617,9815.86131143716,10764.0144387891,11697.6200274601,12213.1236868299,12920.2020384299,14591.3278946085,15828.5425352552,17249.9956634057,18336.4728042254,20082.9103537494,21598.680538037,22708.7040907454,24788.4398541526,26607.7300079402,27680.3598122451,29690.0880042315,30194.0983528604,33491.4488786524,38538.7768799447,33885.6790646703,39039.2172080061,34736.8643062311,40126.4520148068,41896.6283005531,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1958,2625.8041610708,184.549771493456,107.263679158048,79.2572627616035,65.8512870195237,64.5062641672762,57.5539330103366,50.4689277099688,47.7053118354202,43.6875744658379,40.7277874110557,41.0833914810494,39.6435119454273,42.0862969787497,49.7427253106654,58.4667551948415,73.2392484260515,88.7752956076043,99.7689357426936,109.57624279417,115.285195955135,111.99017825782,114.361685376743,110.398933797734,110.361549487936,114.584642662358,112.316619850093,113.993024867963,116.634280055266,120.321921285268,126.563669862168,128.457533367177,140.123998986143,145.373290620849,153.603362753532,168.07422975135,186.39245863009,200.224688114238,215.337215280659,248.069999332191,269.666586587092,291.426016942704,321.094298292638,356.487716127419,398.042583287405,440.43262776801,488.413856287201,546.837991428019,623.346151124926,694.017462017631,774.956337648562,880.331859821103,989.025288814389,1123.38116150479,1265.48134712573,1419.4140789394,1589.96665459923,1774.95494441687,1947.6486098455,2134.79140691449,2350.93492551522,2521.79167165729,2788.90345152095,3040.76863120549,3343.9881150071,3642.03792243846,3970.68240641464,4357.10170717276,4736.47924511422,5182.32684954223,5618.60276810464,6127.97559846957,6718.41064675021,7271.36570058761,7914.53319828734,8480.79523918074,9151.12092081254,9981.58991317634,10981.1266039533,12110.0324468627,12719.4659274429,13471.272519155,15310.0151742622,16445.4843443003,17688.8757203938,18944.3456733301,20669.1106023428,23059.1722146094,24032.5523007006,24780.8831520208,27396.0716249377,28309.5065430403,31425.4867929754,33319.5135224323,34278.1809767247,35614.6873513711,37753.4801599498,37960.4944229203,39441.8685045419,44762.3941323023,29828.1709792308,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1959,2553.06516694438,189.6492533859,111.898772730216,81.8991041546115,66.0084700405338,64.164521064654,56.8600029624298,49.9888526686854,46.518518481593,41.1412923734012,40.2221748805369,40.0002421905364,38.4481751572623,44.8873174260454,52.7156916360558,58.4797315570012,78.6113367838263,93.8133563579483,109.028648417449,118.664860853836,120.115655823002,120.854172567182,123.762883429553,115.375538985778,112.411661085418,110.713188459023,109.618625515731,112.940359275455,113.371884200837,118.044792485321,119.288436665898,123.309304614135,136.064009522225,139.878514184921,155.917488998379,169.180641895104,184.598304675902,198.392114846783,216.303147068568,235.080422674671,268.952218729012,298.677197518054,328.395622186025,358.093906906043,392.986932738965,437.701502772171,480.878961840344,537.78604088855,606.708722504434,685.767643712901,764.347392905294,858.557225875812,975.449969939461,1103.89465975888,1242.2743710719,1410.84980004883,1576.68560666634,1760.85380643006,1948.88943750376,2133.38338545347,2320.19027451441,2576.19923794639,2806.44081944786,3066.06071369496,3350.03277013232,3650.82522642478,3947.635245458,4301.49682938758,4676.65976203582,5156.7119728104,5571.3984201306,6100.93940289149,6667.03158752186,7193.829034251,7838.43847409673,8363.55506379309,9207.04599308583,9910.43738895018,10937.962691253,11955.1393879675,12372.3349021378,13304.8878199751,14624.2414230699,15811.4803963642,17660.9318428005,18852.4070659787,20449.4188407762,21775.8319723777,24042.845409319,25204.5347843579,25325.2293828931,28039.4176210583,28387.7469590011,29856.7647171634,33451.6527598226,36580.3208420082,39668.3792910657,37799.7234150675,43253.506202532,38225.6435628942,32190.7311261258,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1960,2602.75555106753,185.570816335213,105.957374578156,76.0931279793061,67.4576994205692,66.3159521676892,61.1867117743957,53.7442929282681,49.9802859336177,45.6128901128509,40.2424052131738,39.8409946979971,39.3213343322957,43.0306574871464,51.2246780576759,59.7178697267717,75.0837794163278,89.6465194186947,104.628854933971,115.093552734489,124.538733023095,124.376318853306,123.562717286082,117.038392875589,115.369644046607,111.635192885462,113.844892548067,110.705489203181,114.986797068237,117.961551511448,117.270665791855,128.521481416035,132.03264226061,139.823329050115,153.834727418335,169.514432901665,185.973990316803,203.616877460457,217.72200533791,232.839984525163,258.926929685594,286.279317079624,311.618703154236,348.289611520011,392.354480369642,431.791076455865,481.643685388933,541.608771830235,604.788704687827,678.520453353751,764.263512969847,858.337221501113,961.511022658273,1079.12963713609,1215.85105281485,1377.85541937213,1541.82135156733,1696.47327756287,1906.39806007863,2092.87907079918,2301.23175668617,2505.53462125589,2762.85607618205,3016.64252140619,3291.57296643672,3586.26131496678,3899.74596082243,4239.33370310595,4624.53228784468,5004.23734335798,5494.39619924068,5966.81764595546,6513.06828670935,7016.85621616348,7662.45196551024,8302.29075750847,9010.58765735393,9783.73009087645,10718.7585561311,11658.2947805243,12009.0594875862,12784.6613938267,14474.1537379717,15581.0008571288,17481.6370370942,18343.3566008374,19406.3946071233,21338.4604263648,22345.419449192,23246.8536078188,25667.3276877143,25913.1309962191,29262.7751882896,29481.8501794962,33328.2526948629,32941.7288343653,35480.156804342,44335.8014559159,42555.2954141206,41065.4243060525,33976.0356824539,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
