year,sex,age_group,people_total
2011,f,0,388129
2011,f,1,385376
2011,f,2,383199
2011,f,3,381659
2011,f,4,373096
2011,f,5,364065
2011,f,6,347273
2011,f,7,343175
2011,f,8,330513
2011,f,9,331590
2011,f,10,341090
2011,f,11,350726
2011,f,12,359875
2011,f,13,365950
2011,f,14,372847
2011,f,15,375363
2011,f,16,377248
2011,f,17,386590
2011,f,18,397498
2011,f,19,419028
2011,f,20,425888
2011,f,21,418121
2011,f,22,425445
2011,f,23,434588
2011,f,24,429015
2011,f,25,430138
2011,f,26,432373
2011,f,27,429113
2011,f,28,432582
2011,f,29,437080
2011,f,30,442199
2011,f,31,435401
2011,f,32,411141
2011,f,33,388723
2011,f,34,388673
2011,f,35,396842
2011,f,36,406654
2011,f,37,415814
2011,f,38,435967
2011,f,39,456890
2011,f,40,466723
2011,f,41,458286
2011,f,42,471542
2011,f,43,469702
2011,f,44,475480
2011,f,45,477982
2011,f,46,482278
2011,f,47,473835
2011,f,48,464572
2011,f,49,450861
2011,f,50,438712
2011,f,51,418991
2011,f,52,413744
2011,f,53,404623
2011,f,54,389636
2011,f,55,374194
2011,f,56,367662
2011,f,57,368877
2011,f,58,361491
2011,f,59,356256
2011,f,60,359598
2011,f,61,371268
2011,f,62,379526
2011,f,63,412526
2011,f,64,416144
2011,f,65,321433
2011,f,66,339297
2011,f,67,319562
2011,f,68,305057
2011,f,69,268776
2011,f,70,259537
2011,f,71,269681
2011,f,72,265331
2011,f,73,256833
2011,f,74,248742
2011,f,75,238578
2011,f,76,228831
2011,f,77,215746
2011,f,78,212297
2011,f,79,207134
2011,f,80,203348
2011,f,81,189577
2011,f,82,176282
2011,f,83,161188
2011,f,84,153338
2011,f,85,141411
2011,f,86,128910
2011,f,87,118368
2011,f,88,106659
2011,f,89,98932
2011,f,90,89618
2011,f,91,68589
2011,f,92,42869
2011,f,93,33023
2011,f,94,30254
2011,f,95,23774
2011,f,96,19307
2011,f,97,13981
2011,f,98,9706
2011,f,99,6427
2011,f,100 and over,10193
2011,m,0,407365
2011,m,1,403127
2011,m,2,399597
2011,m,3,401650
2011,m,4,390755
2011,m,5,380468
2011,m,6,363984
2011,m,7,359982
2011,m,8,347884
2011,m,9,347681
2011,m,10,356571
2011,m,11,369509
2011,m,12,377620
2011,m,13,383672
2011,m,14,391466
2011,m,15,399529
2011,m,16,397350
2011,m,17,407753
2011,m,18,411588
2011,m,19,424505
2011,m,20,447432
2011,m,21,433609
2011,m,22,430334
2011,m,23,433746
2011,m,24,419020
2011,m,25,435241
2011,m,26,430806
2011,m,27,425391
2011,m,28,425128
2011,m,29,428488
2011,m,30,437595
2011,m,31,432334
2011,m,32,411747
2011,m,33,387624
2011,m,34,390012
2011,m,35,391313
2011,m,36,401624
2011,m,37,410101
2011,m,38,429969
2011,m,39,449303
2011,m,40,453430
2011,m,41,447356
2011,m,42,458079
2011,m,43,458591
2011,m,44,466446
2011,m,45,464741
2011,m,46,469717
2011,m,47,461419
2011,m,48,454785
2011,m,49,442910
2011,m,50,431315
2011,m,51,411549
2011,m,52,405871
2011,m,53,398161
2011,m,54,381852
2011,m,55,367483
2011,m,56,358924
2011,m,57,360725
2011,m,58,351768
2011,m,59,346698
2011,m,60,347932
2011,m,61,357350
2011,m,62,366898
2011,m,63,397077
2011,m,64,399655
2011,m,65,306635
2011,m,66,322473
2011,m,67,302191
2011,m,68,284518
2011,m,69,247538
2011,m,70,235965
2011,m,71,243910
2011,m,72,237242
2011,m,73,228578
2011,m,74,216926
2011,m,75,203623
2011,m,76,192863
2011,m,77,177200
2011,m,78,169341
2011,m,79,160406
2011,m,80,151307
2011,m,81,135432
2011,m,82,122000
2011,m,83,107690
2011,m,84,98734
2011,m,85,86632
2011,m,86,73838
2011,m,87,63423
2011,m,88,53466
2011,m,89,46704
2011,m,90,39225
2011,m,91,27900
2011,m,92,15863
2011,m,93,11418
2011,m,94,9666
2011,m,95,7114
2011,m,96,5356
2011,m,97,3503
2011,m,98,2371
2011,m,99,1412
2011,m,100 and over,2075
