year,sex,age_group,country,people_total
2011,f,0,e,329262
2011,f,0,w,17704
2011,f,0,s,28823
2011,f,0,ni,12340
2011,f,1,e,326684
2011,f,1,w,17333
2011,f,1,s,29188
2011,f,1,ni,12171
2011,f,2,e,324713
2011,f,2,w,17204
2011,f,2,s,28936
2011,f,2,ni,12346
2011,f,3,e,323010
2011,f,3,w,17606
2011,f,3,s,28735
2011,f,3,ni,12308
2011,f,4,e,316609
2011,f,4,w,16881
2011,f,4,s,27915
2011,f,4,ni,11691
2011,f,5,e,309134
2011,f,5,w,16790
2011,f,5,s,26910
2011,f,5,ni,11231
2011,f,6,e,293599
2011,f,6,w,15990
2011,f,6,s,26872
2011,f,6,ni,10812
2011,f,7,e,290359
2011,f,7,w,15828
2011,f,7,s,26172
2011,f,7,ni,10816
2011,f,8,e,279048
2011,f,8,w,15203
2011,f,8,s,25665
2011,f,8,ni,10597
2011,f,9,e,279221
2011,f,9,w,15625
2011,f,9,s,26022
2011,f,9,ni,10722
2011,f,10,e,287289
2011,f,10,w,16060
2011,f,10,s,26950
2011,f,10,ni,10791
2011,f,11,e,295005
2011,f,11,w,16878
2011,f,11,s,27699
2011,f,11,ni,11144
2011,f,12,e,302086
2011,f,12,w,17441
2011,f,12,s,28412
2011,f,12,ni,11936
2011,f,13,e,306879
2011,f,13,w,17828
2011,f,13,s,29353
2011,f,13,ni,11890
2011,f,14,e,312659
2011,f,14,w,18361
2011,f,14,s,29586
2011,f,14,ni,12241
2011,f,15,e,315604
2011,f,15,w,17877
2011,f,15,s,29987
2011,f,15,ni,11895
2011,f,16,e,315836
2011,f,16,w,18524
2011,f,16,s,30360
2011,f,16,ni,12528
2011,f,17,e,323637
2011,f,17,w,19018
2011,f,17,s,31307
2011,f,17,ni,12628
2011,f,18,e,331063
2011,f,18,w,20133
2011,f,18,s,33817
2011,f,18,ni,12485
2011,f,19,e,347507
2011,f,19,w,22177
2011,f,19,s,37240
2011,f,19,ni,12104
2011,f,20,e,354525
2011,f,20,w,22132
2011,f,20,s,37188
2011,f,20,ni,12043
2011,f,21,e,348589
2011,f,21,w,21207
2011,f,21,s,36221
2011,f,21,ni,12104
2011,f,22,e,355856
2011,f,22,w,20627
2011,f,22,s,36624
2011,f,22,ni,12338
2011,f,23,e,364620
2011,f,23,w,20012
2011,f,23,s,37234
2011,f,23,ni,12722
2011,f,24,e,361327
2011,f,24,w,19181
2011,f,24,s,35614
2011,f,24,ni,12893
2011,f,25,e,363472
2011,f,25,w,18577
2011,f,25,s,35329
2011,f,25,ni,12760
2011,f,26,e,365680
2011,f,26,w,18745
2011,f,26,s,35272
2011,f,26,ni,12676
2011,f,27,e,363881
2011,f,27,w,18253
2011,f,27,s,34301
2011,f,27,ni,12678
2011,f,28,e,366804
2011,f,28,w,18214
2011,f,28,s,34959
2011,f,28,ni,12605
2011,f,29,e,370508
2011,f,29,w,18177
2011,f,29,s,35810
2011,f,29,ni,12585
2011,f,30,e,375199
2011,f,30,w,18815
2011,f,30,s,35134
2011,f,30,ni,13051
2011,f,31,e,369965
2011,f,31,w,18422
2011,f,31,s,34144
2011,f,31,ni,12870
2011,f,32,e,349302
2011,f,32,w,17112
2011,f,32,s,32394
2011,f,32,ni,12333
2011,f,33,e,329811
2011,f,33,w,16320
2011,f,33,s,30880
2011,f,33,ni,11712
2011,f,34,e,330041
2011,f,34,w,16472
2011,f,34,s,30497
2011,f,34,ni,11663
2011,f,35,e,336091
2011,f,35,w,16601
2011,f,35,s,32345
2011,f,35,ni,11805
2011,f,36,e,344110
2011,f,36,w,17547
2011,f,36,s,32989
2011,f,36,ni,12008
2011,f,37,e,351480
2011,f,37,w,18212
2011,f,37,s,33615
2011,f,37,ni,12507
2011,f,38,e,367674
2011,f,38,w,19518
2011,f,38,s,35891
2011,f,38,ni,12884
2011,f,39,e,384179
2011,f,39,w,20829
2011,f,39,s,38986
2011,f,39,ni,12896
2011,f,40,e,392207
2011,f,40,w,21336
2011,f,40,s,39736
2011,f,40,ni,13444
2011,f,41,e,384493
2011,f,41,w,21233
2011,f,41,s,39312
2011,f,41,ni,13248
2011,f,42,e,394967
2011,f,42,w,21999
2011,f,42,s,41094
2011,f,42,ni,13482
2011,f,43,e,392710
2011,f,43,w,21794
2011,f,43,s,41628
2011,f,43,ni,13570
2011,f,44,e,398116
2011,f,44,w,22302
2011,f,44,s,41488
2011,f,44,ni,13574
2011,f,45,e,400497
2011,f,45,w,22295
2011,f,45,s,41684
2011,f,45,ni,13506
2011,f,46,e,402068
2011,f,46,w,22964
2011,f,46,s,43289
2011,f,46,ni,13957
2011,f,47,e,394920
2011,f,47,w,22900
2011,f,47,s,42638
2011,f,47,ni,13377
2011,f,48,e,387251
2011,f,48,w,22271
2011,f,48,s,42128
2011,f,48,ni,12922
2011,f,49,e,375321
2011,f,49,w,21753
2011,f,49,s,40871
2011,f,49,ni,12916
2011,f,50,e,364350
2011,f,50,w,21601
2011,f,50,s,40206
2011,f,50,ni,12555
2011,f,51,e,347795
2011,f,51,w,20645
2011,f,51,s,38433
2011,f,51,ni,12118
2011,f,52,e,342943
2011,f,52,w,20387
2011,f,52,s,38700
2011,f,52,ni,11714
2011,f,53,e,334903
2011,f,53,w,20273
2011,f,53,s,37807
2011,f,53,ni,11640
2011,f,54,e,322375
2011,f,54,w,19732
2011,f,54,s,36483
2011,f,54,ni,11046
2011,f,55,e,309541
2011,f,55,w,18742
2011,f,55,s,35356
2011,f,55,ni,10555
2011,f,56,e,304638
2011,f,56,w,18826
2011,f,56,s,34267
2011,f,56,ni,9931
2011,f,57,e,306040
2011,f,57,w,19465
2011,f,57,s,33522
2011,f,57,ni,9850
2011,f,58,e,299333
2011,f,58,w,19202
2011,f,58,s,33184
2011,f,58,ni,9772
2011,f,59,e,295695
2011,f,59,w,18834
2011,f,59,s,32365
2011,f,59,ni,9362
2011,f,60,e,298163
2011,f,60,w,19496
2011,f,60,s,32471
2011,f,60,ni,9468
2011,f,61,e,308787
2011,f,61,w,19745
2011,f,61,s,33093
2011,f,61,ni,9643
2011,f,62,e,315777
2011,f,62,w,20511
2011,f,62,s,33722
2011,f,62,ni,9516
2011,f,63,e,344552
2011,f,63,w,22091
2011,f,63,s,36191
2011,f,63,ni,9692
2011,f,64,e,347858
2011,f,64,w,22175
2011,f,64,s,36320
2011,f,64,ni,9791
2011,f,65,e,268077
2011,f,65,w,17305
2011,f,65,s,27354
2011,f,65,ni,8697
2011,f,66,e,283242
2011,f,66,w,18479
2011,f,66,s,28585
2011,f,66,ni,8991
2011,f,67,e,265369
2011,f,67,w,17192
2011,f,67,s,28180
2011,f,67,ni,8821
2011,f,68,e,252401
2011,f,68,w,16785
2011,f,68,s,27293
2011,f,68,ni,8578
2011,f,69,e,221100
2011,f,69,w,15130
2011,f,69,s,25115
2011,f,69,ni,7431
2011,f,70,e,213631
2011,f,70,w,14647
2011,f,70,s,24371
2011,f,70,ni,6888
2011,f,71,e,223609
2011,f,71,w,14277
2011,f,71,s,24820
2011,f,71,ni,6975
2011,f,72,e,219846
2011,f,72,w,14231
2011,f,72,s,24238
2011,f,72,ni,7016
2011,f,73,e,213090
2011,f,73,w,13732
2011,f,73,s,23514
2011,f,73,ni,6497
2011,f,74,e,206000
2011,f,74,w,13152
2011,f,74,s,22960
2011,f,74,ni,6630
2011,f,75,e,197392
2011,f,75,w,12819
2011,f,75,s,22175
2011,f,75,ni,6192
2011,f,76,e,189332
2011,f,76,w,12337
2011,f,76,s,21310
2011,f,76,ni,5852
2011,f,77,e,178673
2011,f,77,w,11634
2011,f,77,s,19902
2011,f,77,ni,5537
2011,f,78,e,176132
2011,f,78,w,11468
2011,f,78,s,19094
2011,f,78,ni,5603
2011,f,79,e,172113
2011,f,79,w,10950
2011,f,79,s,18815
2011,f,79,ni,5256
2011,f,80,e,169870
2011,f,80,w,10495
2011,f,80,s,17839
2011,f,80,ni,5144
2011,f,81,e,158522
2011,f,81,w,9866
2011,f,81,s,16408
2011,f,81,ni,4781
2011,f,82,e,147364
2011,f,82,w,9104
2011,f,82,s,15352
2011,f,82,ni,4462
2011,f,83,e,135161
2011,f,83,w,8533
2011,f,83,s,13364
2011,f,83,ni,4130
2011,f,84,e,128206
2011,f,84,w,8346
2011,f,84,s,12970
2011,f,84,ni,3816
2011,f,85,e,118392
2011,f,85,w,7675
2011,f,85,s,11906
2011,f,85,ni,3438
2011,f,86,e,108510
2011,f,86,w,6989
2011,f,86,s,10325
2011,f,86,ni,3086
2011,f,87,e,99821
2011,f,87,w,6201
2011,f,87,s,9434
2011,f,87,ni,2912
2011,f,88,e,90406
2011,f,88,w,5566
2011,f,88,s,8175
2011,f,88,ni,2512
2011,f,89,e,83723
2011,f,89,w,5506
2011,f,89,s,7471
2011,f,89,ni,2232
2011,f,90,e,76305
2011,f,90,w,4715
2011,f,90,s,6703
2011,f,90,ni,1895
2011,f,91,e,58342
2011,f,91,w,3782
2011,f,91,s,5052
2011,f,91,ni,1413
2011,f,92,e,36122
2011,f,92,w,2447
2011,f,92,s,3217
2011,f,92,ni,1083
2011,f,93,e,27909
2011,f,93,w,1810
2011,f,93,s,2457
2011,f,93,ni,847
2011,f,94,e,25806
2011,f,94,w,1632
2011,f,94,s,2186
2011,f,94,ni,630
2011,f,95,e,20241
2011,f,95,w,1257
2011,f,95,s,1756
2011,f,95,ni,520
2011,f,96,e,16406
2011,f,96,w,1023
2011,f,96,s,1466
2011,f,96,ni,412
2011,f,97,e,12013
2011,f,97,w,749
2011,f,97,s,940
2011,f,97,ni,279
2011,f,98,e,8270
2011,f,98,w,528
2011,f,98,s,699
2011,f,98,ni,209
2011,f,99,e,5520
2011,f,99,w,351
2011,f,99,s,427
2011,f,99,ni,129
2011,f,100 and over,e,8774
2011,f,100 and over,w,509
2011,f,100 and over,s,722
2011,f,100 and over,ni,188
2011,m,0,e,345803
2011,m,0,w,18760
2011,m,0,s,29892
2011,m,0,ni,12910
2011,m,1,e,341978
2011,m,1,w,18160
2011,m,1,s,30368
2011,m,1,ni,12621
2011,m,2,e,338406
2011,m,2,w,18454
2011,m,2,s,29973
2011,m,2,ni,12764
