year,sex,age_group,country,mortality_rate
1981,m,0,e,1250.92
1982,m,0,e,1223.08
1983,m,0,e,1133.52
1984,m,0,e,1064.97
1985,m,0,e,1035.76
1986,m,0,e,1100.49
1987,m,0,e,1044.12
1988,m,0,e,1034.61
1989,m,0,e,962.52
1990,m,0,e,896.01
1991,m,0,e,828.98
1992,m,0,e,739.24
1993,m,0,e,703.15
1994,m,0,e,686.34
1995,m,0,e,685.41
1996,m,0,e,693.06
1997,m,0,e,651.97
1998,m,0,e,631.77
1999,m,0,e,646.16
2000,m,0,e,613.06
2001,m,0,e,593.81
2002,m,0,e,605.19
2003,m,0,e,582.5
2004,m,0,e,554.33
2005,m,0,e,571.84
2006,m,0,e,551.76
2007,m,0,e,530.09
2008,m,0,e,532.32
2009,m,0,e,513.96
2010,m,0,e,466.92
2011,m,0,e,498.1
2012,m,0,e,460.87
2013,m,0,e,443.24
2014,m,0,e,406.75
2015,m,0,e,441.86
2016,m,0,e,423.68
2017,m,0,e,436.07
2018,m,0,e,424.25
2019,m,0,e,433.22
2020,m,0,e,415.44
2021,m,0,e,370.03
2022,m,0,e,371.7
2023,m,0,e,363.91
2024,m,0,e,356.45
2025,m,0,e,349.32
2026,m,0,e,342.5
2027,m,0,e,335.97
2028,m,0,e,329.73
2029,m,0,e,323.75
2030,m,0,e,318.04
2031,m,0,e,312.56
2032,m,0,e,307.32
2033,m,0,e,302.3
2034,m,0,e,297.49
2035,m,0,e,292.89
2036,m,0,e,288.47
2037,m,0,e,284.24
2038,m,0,e,280.19
2039,m,0,e,276.3
2040,m,0,e,272.57
2041,m,0,e,268.98
2042,m,0,e,265.54
2043,m,0,e,262.22
2044,m,0,e,259.01
2045,m,0,e,255.89
2046,m,0,e,252.83
2047,m,0,e,249.8
2048,m,0,e,246.8
2049,m,0,e,243.84
2050,m,0,e,240.92
2051,m,0,e,238.03
2052,m,0,e,235.18
2053,m,0,e,232.36
2054,m,0,e,229.58
2055,m,0,e,226.82
2056,m,0,e,224.11
2057,m,0,e,221.42
2058,m,0,e,218.76
2059,m,0,e,216.14
2060,m,0,e,213.55
2061,m,0,e,210.99
2062,m,0,e,208.46
2063,m,0,e,205.96
2064,m,0,e,203.49
2065,m,0,e,201.05
2066,m,0,e,198.64
2067,m,0,e,196.26
2068,m,0,e,193.91
2069,m,0,e,191.59
2070,m,0,e,189.29
1981,m,1,e,87.25
1982,m,1,e,72.69
1983,m,1,e,82.77
1984,m,1,e,77.73
1985,m,1,e,68.69
1986,m,1,e,70.51
1987,m,1,e,74.31
1988,m,1,e,70.65
1989,m,1,e,68.78
1990,m,1,e,65.77
1991,m,1,e,53.18
1992,m,1,e,57.36
1993,m,1,e,53.08
1994,m,1,e,45.0
1995,m,1,e,51.91
1996,m,1,e,55.39
1997,m,1,e,50.91
1998,m,1,e,53.47
1999,m,1,e,44.47
2000,m,1,e,43.39
2001,m,1,e,47.16
2002,m,1,e,37.5
2003,m,1,e,41.81
2004,m,1,e,41.24
2005,m,1,e,41.18
2006,m,1,e,42.44
2007,m,1,e,36.31
2008,m,1,e,30.89
2009,m,1,e,34.15
2010,m,1,e,35.86
2011,m,1,e,33.92
2012,m,1,e,32.78
2013,m,1,e,36.56
2014,m,1,e,29.33
2015,m,1,e,26.75
2016,m,1,e,24.68
2017,m,1,e,25.75
2018,m,1,e,22.44
2019,m,1,e,21.2
2020,m,1,e,34.07
2021,m,1,e,34.22
2022,m,1,e,33.5
