year,sex,age_group,people_total,mortality_rate,dead_within_year
2011,f,0,388129.0,493.533036501832,1916
2011,f,1,385376.0,35.3981030329862,137
2011,f,2,383199.0,19.953790513085,77
2011,f,3,381659.0,11.4300360350522,44
2011,f,4,373096.0,10.1982410583735,39
2011,f,5,364065.0,11.507942605444,42
2011,f,6,347273.0,9.74729131912327,34
2011,f,7,343175.0,8.29995770479886,29
2011,f,8,330513.0,9.65316737456561,32
2011,f,9,331590.0,10.6480910239111,36
2011,f,10,341090.0,8.74541394724259,30
2011,f,11,350726.0,8.21043902585878,29
2011,f,12,359875.0,10.6443242301077,39
2011,f,13,365950.0,8.63003152903564,32
2011,f,14,372847.0,12.7634780733019,48
2011,f,15,375363.0,17.2261633755934,65
2011,f,16,377248.0,23.7337477481344,90
2011,f,17,386590.0,35.1425608359506,136
2011,f,18,397498.0,40.5856114893735,162
2011,f,19,419028.0,48.9797552307376,206
2011,f,20,425888.0,53.0316824471959,226
2011,f,21,418121.0,54.4561364972806,228
2011,f,22,425445.0,58.6550726679196,250
2011,f,23,434588.0,50.9190045104215,222
2011,f,24,429015.0,51.386346131623,221
2011,f,25,430138.0,65.6424290472371,283
2011,f,26,432373.0,58.9553559990961,255
2011,f,27,429113.0,62.7675268218465,270
2011,f,28,432582.0,73.1121573780065,317
2011,f,29,437080.0,75.4019692946425,330
2011,f,30,442199.0,79.460337631581,352
2011,f,31,435401.0,81.5111804442244,355
2011,f,32,411141.0,81.1062656081106,334
2011,f,33,388723.0,88.9913075465008,346
2011,f,34,388673.0,99.9996465308124,389
2011,f,35,396842.0,107.770706384239,428
2011,f,36,406654.0,119.403469757418,486
2011,f,37,415814.0,128.772832849313,536
2011,f,38,435967.0,130.877019951403,571
2011,f,39,456890.0,139.408427780851,637
2011,f,40,466723.0,156.24689657912,730
2011,f,41,458286.0,166.743295019157,765
2011,f,42,471542.0,190.828811202309,900
2011,f,43,469702.0,186.968176458299,879
2011,f,44,475480.0,208.941155227479,994
2011,f,45,477982.0,223.835647439504,1070
2011,f,46,482278.0,234.76719320907,1133
2011,f,47,473835.0,236.078808534378,1119
2011,f,48,464572.0,275.242691739955,1279
2011,f,49,450861.0,290.411938164597,1310
